"","iter","swarm","algorithm","loglikelihood"
"18.4",2000,50,"DE",-2754.85916316126
"18.5",2000,50,"DE",-2761.53774872545
"18.6",2000,50,"DE",-2754.83281689332
"18.7",2000,50,"DE",-2754.84635131814
"18.8",2000,50,"DE",-2754.84421794818
"18.9",2000,50,"DE",-2754.84222031433
"19",100,75,"DE",-2914.43506019143
"19.1",100,75,"DE",-2875.88539980232
"19.2",100,75,"DE",-2926.34135256525
"19.3",100,75,"DE",-2932.61981357301
"19.4",100,75,"DE",-2874.2496185487
"19.5",100,75,"DE",-2873.55161974177
"19.6",100,75,"DE",-2867.34932394121
"19.7",100,75,"DE",-2868.71311218844
"19.8",100,75,"DE",-2938.63969772395
"19.9",100,75,"DE",-2951.33755500071
"20",250,75,"DE",-2783.06960094418
"20.1",250,75,"DE",-2790.17177183343
"20.2",250,75,"DE",-2786.84087860117
"20.3",250,75,"DE",-2788.60162299099
"20.4",250,75,"DE",-2784.80246447356
"20.5",250,75,"DE",-2814.46505562611
"20.6",250,75,"DE",-2789.78356542441
"20.7",250,75,"DE",-2773.7083373163
"20.8",250,75,"DE",-2769.79260008665
"20.9",250,75,"DE",-2791.67417409642
"21",500,75,"DE",-2756.31297481337
"21.1",500,75,"DE",-2759.73871486264
"21.2",500,75,"DE",-2755.30239089119
"21.3",500,75,"DE",-2755.30108562241
"21.4",500,75,"DE",-2763.79154789685
"21.5",500,75,"DE",-2757.78065293611
"21.6",500,75,"DE",-2755.21092162327
"21.7",500,75,"DE",-2755.50472156139
"21.8",500,75,"DE",-2757.07196798589
"21.9",500,75,"DE",-2756.28670771643
"22",750,75,"DE",-2757.23977681026
"22.1",750,75,"DE",-2754.90695659133
"22.2",750,75,"DE",-2756.22612396596
"22.3",750,75,"DE",-2755.27081970914
"22.4",750,75,"DE",-2755.19967032193
"22.5",750,75,"DE",-2755.30958873124
"22.6",750,75,"DE",-2755.05449425357
"22.7",750,75,"DE",-2755.72350909512
"22.8",750,75,"DE",-2755.16310095708
"22.9",750,75,"DE",-2754.94757766876
"23",1000,75,"DE",-2754.92387682216
"23.1",1000,75,"DE",-2754.96290905724
"23.2",1000,75,"DE",-2755.01207242045
"23.3",1000,75,"DE",-2754.9117345174
"23.4",1000,75,"DE",-2754.98418427447
"23.5",1000,75,"DE",-2754.84325998058
"23.6",1000,75,"DE",-2754.91746411492
"23.7",1000,75,"DE",-2754.85763120136
"23.8",1000,75,"DE",-2754.90078637633
"23.9",1000,75,"DE",-2754.86732214851
"24",2000,75,"DE",-2754.85514870312
"24.1",2000,75,"DE",-2754.83308478753
"24.2",2000,75,"DE",-2754.99844125637
"24.3",2000,75,"DE",-2754.91905600062
"24.4",2000,75,"DE",-2755.89747072145
"24.5",2000,75,"DE",-2754.83712411942
"24.6",2000,75,"DE",-2754.84624826404
"24.7",2000,75,"DE",-2754.86581276522
"24.8",2000,75,"DE",-2754.83742449465
"24.9",2000,75,"DE",-2754.88950136369
"25",100,100,"DE",-2900.05059085777
"25.1",100,100,"DE",-2878.84587934254
"25.2",100,100,"DE",-2836.59715651833
