"","iter","swarm","algorithm","loglikelihood"
"32.7",250,200,"DE",-504.254393776408
"32.8",250,200,"DE",-504.508758094763
"32.9",250,200,"DE",-504.614995738471
"33",500,200,"DE",-504.081069247764
"33.1",500,200,"DE",-504.075233090932
"33.2",500,200,"DE",-504.07379315389
"33.3",500,200,"DE",-504.063448180992
"33.4",500,200,"DE",-504.055932500881
"33.5",500,200,"DE",-504.054777281053
"33.6",500,200,"DE",-504.098018701452
"33.7",500,200,"DE",-504.06088943757
"33.8",500,200,"DE",-504.071040556644
"33.9",500,200,"DE",-504.075610264173
"34",750,200,"DE",-504.055855322344
"34.1",750,200,"DE",-504.056261418943
"34.2",750,200,"DE",-504.08566367394
"34.3",750,200,"DE",-504.047661455536
"34.4",750,200,"DE",-504.059072205072
"34.5",750,200,"DE",-504.106624027689
"34.6",750,200,"DE",-504.070434145986
"34.7",750,200,"DE",-504.060148341259
"34.8",750,200,"DE",-504.047269035144
"34.9",750,200,"DE",-504.051117992074
"35",1000,200,"DE",-504.065235763761
"35.1",1000,200,"DE",-504.05346664928
"35.2",1000,200,"DE",-504.046242874224
"35.3",1000,200,"DE",-504.043686912586
"35.4",1000,200,"DE",-504.043687595859
"35.5",1000,200,"DE",-504.044043280985
"35.6",1000,200,"DE",-504.041418937206
"35.7",1000,200,"DE",-504.04167684801
"35.8",1000,200,"DE",-504.052258379508
"35.9",1000,200,"DE",-504.039227526648
"36",2000,200,"DE",-504.037771097632
"36.1",2000,200,"DE",-504.037713014494
"36.2",2000,200,"DE",-504.038076674198
"36.3",2000,200,"DE",-504.04553145632
"36.4",2000,200,"DE",-504.037733589194
"36.5",2000,200,"DE",-504.039228481777
"36.6",2000,200,"DE",-504.037503591222
"36.7",2000,200,"DE",-504.03842964552
"36.8",2000,200,"DE",-504.038277380541
"36.9",2000,200,"DE",-504.037649805259
"37",100,10,"GWO",-504.648040091737
"37.1",100,10,"GWO",-504.440027403935
"37.2",100,10,"GWO",-504.664822874057
"37.3",100,10,"GWO",-504.528251938235
"37.4",100,10,"GWO",-504.240581930008
"37.5",100,10,"GWO",-504.177872233476
"37.6",100,10,"GWO",-504.471317976867
"37.7",100,10,"GWO",-504.166908699975
"37.8",100,10,"GWO",-504.352390412721
"37.9",100,10,"GWO",-504.56927293441
"38",250,10,"GWO",-504.321830099408
"38.1",250,10,"GWO",-504.307530295197
"38.2",250,10,"GWO",-504.305940386677
"38.3",250,10,"GWO",-504.13160729242
"38.4",250,10,"GWO",-504.387703393189
"38.5",250,10,"GWO",-504.224862878781
"38.6",250,10,"GWO",-504.30848101482
"38.7",250,10,"GWO",-504.501114371858
"38.8",250,10,"GWO",-504.287168917646
"38.9",250,10,"GWO",-504.699049743913
"39",500,10,"GWO",-504.552850986741
"39.1",500,10,"GWO",-504.136203626479
"39.2",500,10,"GWO",-505.409468118792
"39.3",500,10,"GWO",-504.669200679369
"39.4",500,10,"GWO",-505.027153177176
"39.5",500,10,"GWO",-504.162228583567
"39.6",500,10,"GWO",-504.094293749478
"39.7",500,10,"GWO",-504.037809643063
"39.8",500,10,"GWO",-504.077084987215
"39.9",500,10,"GWO",-504.557012213041
"40",750,10,"GWO",-504.198689015643
"40.1",750,10,"GWO",-504.202594784698
"40.2",750,10,"GWO",-504.067544397113
"40.3",750,10,"GWO",-504.695500816642
"40.4",750,10,"GWO",-504.038290564237
"40.5",750,10,"GWO",-504.552635664121
"40.6",750,10,"GWO",-504.073181396114
"40.7",750,10,"GWO",-504.493480314926
"40.8",750,10,"GWO",-505.401630319748
"40.9",750,10,"GWO",-504.037551021688
"41",1000,10,"GWO",-505.571157506525
"41.1",1000,10,"GWO",-504.586846916576
"41.2",1000,10,"GWO",-504.03991717795
"41.3",1000,10,"GWO",-504.116085286304
"41.4",1000,10,"GWO",-504.642741357363
"41.5",1000,10,"GWO",-504.493629655128
"41.6",1000,10,"GWO",-504.469721295312
"41.7",1000,10,"GWO",-504.066401373219
"41.8",1000,10,"GWO",-504.55247600659
"41.9",1000,10,"GWO",-504.066698391212
"42",2000,10,"GWO",-504.052825905321
"42.1",2000,10,"GWO",-504.056236838656
"42.2",2000,10,"GWO",-504.056687984453
"42.3",2000,10,"GWO",-504.302286900186
"42.4",2000,10,"GWO",-504.981369394002
"42.5",2000,10,"GWO",-504.995331007325
"42.6",2000,10,"GWO",-504.685433277617
"42.7",2000,10,"GWO",-504.061886057827
"42.8",2000,10,"GWO",-505.217078584758
"42.9",2000,10,"GWO",-504.30229161851
"43",100,20,"GWO",-504.138382659349
"43.1",100,20,"GWO",-504.154740147064
"43.2",100,20,"GWO",-504.129959503572
"43.3",100,20,"GWO",-504.299048483511
"43.4",100,20,"GWO",-504.201512024921
"43.5",100,20,"GWO",-504.114785690596
"43.6",100,20,"GWO",-504.092509622478
"43.7",100,20,"GWO",-504.521800493119
"43.8",100,20,"GWO",-504.073474960709
"43.9",100,20,"GWO",-504.175775154874
"44",250,20,"GWO",-504.557983982358
"44.1",250,20,"GWO",-504.489407510046
"44.2",250,20,"GWO",-504.689368146665
"44.3",250,20,"GWO",-504.163221603912
"44.4",250,20,"GWO",-504.480089912523
"44.5",250,20,"GWO",-504.535425496666
"44.6",250,20,"GWO",-504.041958888945
"44.7",250,20,"GWO",-504.14558240645
