"","iter","swarm","algorithm","loglikelihood"
"36.8",2000,200,"DE",-18477.4426516552
"36.9",2000,200,"DE",-18563.3737886193
"37",100,10,"GWO",-18961.7406862977
"37.1",100,10,"GWO",-17869.5461803092
"37.2",100,10,"GWO",-18756.1388004266
"37.3",100,10,"GWO",-18091.8002592572
"37.4",100,10,"GWO",-18387.760596287
"37.5",100,10,"GWO",-19129.8702977386
"37.6",100,10,"GWO",-17463.7930723019
"37.7",100,10,"GWO",-18655.0144402098
"37.8",100,10,"GWO",-18575.8423155716
"37.9",100,10,"GWO",-17978.9053666522
"38",250,10,"GWO",-16966.6099958839
"38.1",250,10,"GWO",-18376.6692378916
"38.2",250,10,"GWO",-16915.9655372834
"38.3",250,10,"GWO",-17188.9516006864
"38.4",250,10,"GWO",-17597.2475559283
"38.5",250,10,"GWO",-17040.4243688033
"38.6",250,10,"GWO",-17370.2001342849
"38.7",250,10,"GWO",-17830.4063392964
"38.8",250,10,"GWO",-18064.2989025508
"38.9",250,10,"GWO",-17855.7135330681
"39",500,10,"GWO",-17224.2373972437
"39.1",500,10,"GWO",-17529.0440075985
"39.2",500,10,"GWO",-16819.695653756
"39.3",500,10,"GWO",-17222.6680385023
"39.4",500,10,"GWO",-17560.4691951785
"39.5",500,10,"GWO",-17363.9036495238
"39.6",500,10,"GWO",-17021.6400305359
"39.7",500,10,"GWO",-17390.18689548
"39.8",500,10,"GWO",-17023.1585558741
"39.9",500,10,"GWO",-16990.2505889679
"40",750,10,"GWO",-17628.7424682112
"40.1",750,10,"GWO",-17730.6657397797
"40.2",750,10,"GWO",-17113.8574851543
"40.3",750,10,"GWO",-17141.6115697812
"40.4",750,10,"GWO",-16914.4088176221
"40.5",750,10,"GWO",-17048.0754904725
"40.6",750,10,"GWO",-17944.2323761154
"40.7",750,10,"GWO",-18294.0224481972
"40.8",750,10,"GWO",-16810.527597988
"40.9",750,10,"GWO",-16844.246692289
"41",1000,10,"GWO",-17902.2354498564
"41.1",1000,10,"GWO",-16777.7773895985
"41.2",1000,10,"GWO",-17575.4862884655
"41.3",1000,10,"GWO",-17307.5597511633
"41.4",1000,10,"GWO",-16776.4079977568
"41.5",1000,10,"GWO",-16964.332040294
"41.6",1000,10,"GWO",-17267.424005844
"41.7",1000,10,"GWO",-17330.7648800466
"41.8",1000,10,"GWO",-17350.3671780952
"41.9",1000,10,"GWO",-17198.7374826756
"42",2000,10,"GWO",-16958.1453131355
"42.1",2000,10,"GWO",-16850.2373382167
"42.2",2000,10,"GWO",-17094.5212403286
"42.3",2000,10,"GWO",-17245.4636236352
"42.4",2000,10,"GWO",-18059.629323862
"42.5",2000,10,"GWO",-18248.695787992
"42.6",2000,10,"GWO",-17747.5847143534
"42.7",2000,10,"GWO",-17354.2351277607
"42.8",2000,10,"GWO",-16987.5098228602
"42.9",2000,10,"GWO",-17270.3989357792
"43",100,20,"GWO",-17549.5758306469
"43.1",100,20,"GWO",-17175.7399472817
"43.2",100,20,"GWO",-17254.9119003019
"43.3",100,20,"GWO",-17397.4492671679
"43.4",100,20,"GWO",-17679.6322667503
"43.5",100,20,"GWO",-17547.3403038875
"43.6",100,20,"GWO",-17714.1431663637
"43.7",100,20,"GWO",-17365.0150688806
"43.8",100,20,"GWO",-17781.4516382899
"43.9",100,20,"GWO",-17683.2935122016
"44",250,20,"GWO",-17133.8443241109
"44.1",250,20,"GWO",-16950.193215006
"44.2",250,20,"GWO",-17098.419537213
"44.3",250,20,"GWO",-16956.3614025218
"44.4",250,20,"GWO",-16847.2081384292
"44.5",250,20,"GWO",-16979.9819003209
"44.6",250,20,"GWO",-19295.2288855581
"44.7",250,20,"GWO",-17094.2142451014
"44.8",250,20,"GWO",-16868.0881322703
"44.9",250,20,"GWO",-17152.3009551896
"45",500,20,"GWO",-16923.3196210614
"45.1",500,20,"GWO",-16811.0446484124
"45.2",500,20,"GWO",-16938.8174121849
"45.3",500,20,"GWO",-16924.1856888741
"45.4",500,20,"GWO",-16926.2407361251
"45.5",500,20,"GWO",-17511.975409166
"45.6",500,20,"GWO",-16806.7699015081
"45.7",500,20,"GWO",-16777.2863867443
"45.8",500,20,"GWO",-16823.6812240852
"45.9",500,20,"GWO",-17414.2458794845
"46",750,20,"GWO",-16926.5495065948
"46.1",750,20,"GWO",-17097.4513149492
"46.2",750,20,"GWO",-17216.9775740328
"46.3",750,20,"GWO",-16860.6242616109
"46.4",750,20,"GWO",-16816.6084606498
"46.5",750,20,"GWO",-16889.7990776502
"46.6",750,20,"GWO",-16812.7603154322
"46.7",750,20,"GWO",-17116.8314237714
"46.8",750,20,"GWO",-16851.4871742493
"46.9",750,20,"GWO",-17005.3148932761
