"","iter","swarm","algorithm","loglikelihood"
"23.1",1000,75,"DE",-448.197294650631
"23.2",1000,75,"DE",-448.197299756833
"23.3",1000,75,"DE",-448.197296991536
"23.4",1000,75,"DE",-448.19730012161
"23.5",1000,75,"DE",-448.197409225083
"23.6",1000,75,"DE",-448.198119075211
"23.7",1000,75,"DE",-448.197294659779
"23.8",1000,75,"DE",-448.197298772832
"23.9",1000,75,"DE",-448.197294533558
"24",2000,75,"DE",-448.197294532853
"24.1",2000,75,"DE",-448.197294540207
"24.2",2000,75,"DE",-448.197297732839
"24.3",2000,75,"DE",-448.19729568067
"24.4",2000,75,"DE",-448.197296990182
"24.5",2000,75,"DE",-448.197294635267
"24.6",2000,75,"DE",-448.197294533004
"24.7",2000,75,"DE",-448.197294550056
"24.8",2000,75,"DE",-448.19729457625
"24.9",2000,75,"DE",-448.197294650728
"25",100,100,"DE",-448.551976952803
"25.1",100,100,"DE",-448.358268226345
"25.2",100,100,"DE",-448.408543648451
"25.3",100,100,"DE",-448.279210529253
"25.4",100,100,"DE",-448.335585970913
"25.5",100,100,"DE",-449.022897917847
"25.6",100,100,"DE",-448.651559182841
"25.7",100,100,"DE",-448.30929834075
"25.8",100,100,"DE",-448.401895263919
"25.9",100,100,"DE",-448.306322114153
"26",250,100,"DE",-448.208788945939
"26.1",250,100,"DE",-448.220372004374
"26.2",250,100,"DE",-448.224190161399
"26.3",250,100,"DE",-448.202384874769
"26.4",250,100,"DE",-448.197355332418
"26.5",250,100,"DE",-448.212300719608
"26.6",250,100,"DE",-448.352193852464
"26.7",250,100,"DE",-448.209296414846
"26.8",250,100,"DE",-448.255901450893
"26.9",250,100,"DE",-448.201073182926
"27",500,100,"DE",-448.197385039046
"27.1",500,100,"DE",-448.197304169103
"27.2",500,100,"DE",-448.197323703796
"27.3",500,100,"DE",-448.199004628098
"27.4",500,100,"DE",-448.201300283051
"27.5",500,100,"DE",-448.197439167969
"27.6",500,100,"DE",-448.197414197066
"27.7",500,100,"DE",-448.197611012854
"27.8",500,100,"DE",-448.197744291651
"27.9",500,100,"DE",-448.197855788717
"28",750,100,"DE",-448.200315765343
"28.1",750,100,"DE",-448.19734349783
"28.2",750,100,"DE",-448.197322981816
"28.3",750,100,"DE",-448.19809955328
"28.4",750,100,"DE",-448.197379325891
"28.5",750,100,"DE",-448.197585440824
"28.6",750,100,"DE",-448.197745650146
"28.7",750,100,"DE",-448.197702585377
"28.8",750,100,"DE",-448.197370390046
"28.9",750,100,"DE",-448.197330330868
"29",1000,100,"DE",-448.197415228015
"29.1",1000,100,"DE",-448.197303886552
"29.2",1000,100,"DE",-448.199293352487
"29.3",1000,100,"DE",-448.197294574974
"29.4",1000,100,"DE",-448.197296321945
"29.5",1000,100,"DE",-448.197294535819
"29.6",1000,100,"DE",-448.197333625843
"29.7",1000,100,"DE",-448.197295122596
"29.8",1000,100,"DE",-448.197757077578
"29.9",1000,100,"DE",-448.197294758672
"30",2000,100,"DE",-448.197295771832
"30.1",2000,100,"DE",-448.197296483351
"30.2",2000,100,"DE",-448.197844640532
"30.3",2000,100,"DE",-448.197294564663
"30.4",2000,100,"DE",-448.197294561948
"30.5",2000,100,"DE",-448.197295409889
"30.6",2000,100,"DE",-448.197295930019
"30.7",2000,100,"DE",-448.19729454638
"30.8",2000,100,"DE",-448.197304307116
"30.9",2000,100,"DE",-448.197294653908
"31",100,200,"DE",-448.38918750432
"31.1",100,200,"DE",-448.303385799913
"31.2",100,200,"DE",-448.618190439278
"31.3",100,200,"DE",-448.655070588357
"31.4",100,200,"DE",-448.374220281246
"31.5",100,200,"DE",-448.525428190438
"31.6",100,200,"DE",-448.611294848069
"31.7",100,200,"DE",-448.624271404333
"31.8",100,200,"DE",-448.31500625264
"31.9",100,200,"DE",-448.480862312072
"32",250,200,"DE",-448.239622248979
"32.1",250,200,"DE",-448.197430135154
"32.2",250,200,"DE",-448.213715938816
"32.3",250,200,"DE",-448.201738336935
"32.4",250,200,"DE",-448.205063398126
"32.5",250,200,"DE",-448.22589965868
"32.6",250,200,"DE",-448.215955679811
"32.7",250,200,"DE",-448.198894142683
"32.8",250,200,"DE",-448.213526505883
"32.9",250,200,"DE",-448.226238852768
"33",500,200,"DE",-448.197736755191
"33.1",500,200,"DE",-448.200030490073
"33.2",500,200,"DE",-448.201946199727
"33.3",500,200,"DE",-448.197972843523
"33.4",500,200,"DE",-448.197427691464
"33.5",500,200,"DE",-448.197580075598
"33.6",500,200,"DE",-448.200471887358
"33.7",500,200,"DE",-448.211648073484
"33.8",500,200,"DE",-448.197313632161
"33.9",500,200,"DE",-448.197339886115
"34",750,200,"DE",-448.197410068199
"34.1",750,200,"DE",-448.197819644903
"34.2",750,200,"DE",-448.198368741789
"34.3",750,200,"DE",-448.197413023409
"34.4",750,200,"DE",-448.197294607318
"34.5",750,200,"DE",-448.197301456113
"34.6",750,200,"DE",-448.197307668337
"34.7",750,200,"DE",-448.197298189743
"34.8",750,200,"DE",-448.197306092568
"34.9",750,200,"DE",-448.197719322745
"35",1000,200,"DE",-448.197340787336
"35.1",1000,200,"DE",-448.197569214013
"35.2",1000,200,"DE",-448.197906115025
"35.3",1000,200,"DE",-448.197302261556
"35.4",1000,200,"DE",-448.197300016784
"35.5",1000,200,"DE",-448.197606766849
"35.6",1000,200,"DE",-448.197294540921
"35.7",1000,200,"DE",-448.197694977384
"35.8",1000,200,"DE",-448.19731801003
"35.9",1000,200,"DE",-448.197312003372
"36",2000,200,"DE",-448.197295393676
"36.1",2000,200,"DE",-448.197294648505
"36.2",2000,200,"DE",-448.197295000133
"36.3",2000,200,"DE",-448.197298479406
"36.4",2000,200,"DE",-448.197299679895
"36.5",2000,200,"DE",-448.197294718165
"36.6",2000,200,"DE",-448.197295859104
"36.7",2000,200,"DE",-448.197299946739
"36.8",2000,200,"DE",-448.197297325447
"36.9",2000,200,"DE",-448.197298908442
"37",100,10,"GWO",-448.754334506624
"37.1",100,10,"GWO",-448.685445733311
"37.2",100,10,"GWO",-451.202451408913
"37.3",100,10,"GWO",-448.56714473391
"37.4",100,10,"GWO",-448.58858000054
"37.5",100,10,"GWO",-448.928554234197
"37.6",100,10,"GWO",-450.907982082187
"37.7",100,10,"GWO",-451.369630211844
"37.8",100,10,"GWO",-450.875061797617
"37.9",100,10,"GWO",-448.51255584112
"38",250,10,"GWO",-448.376577360359
"38.1",250,10,"GWO",-448.330757578032
"38.2",250,10,"GWO",-448.416357479841
"38.3",250,10,"GWO",-448.402979670707
